Time (s)	VacThrust (kN)	Mdot (kg/s)
0	0	0
0.01	12.97	2.880518341
0.2	29.125	9.348914384
0.4	28.002	12.68738406
0.6	27.233	12.26718817
0.8	26.677	11.97291779
1	25.804	11.65554997
1.2	25.526	11.3999234
1.4	25.306	11.28932215
1.6	25.123	11.19981954
2	24.829	11.0938822
3	24.312	10.91376652
3.4	24.13	10.75852502
4	23.947	10.67746186
5	23.649	10.57063616
6	23.385	10.4458211
7	23.134	10.33144431
8	22.893	10.22217561
9	22.654	10.115572
10	22.411	10.00852421
11	22.163	9.899477604
12	21.909	9.787987997
13	21.641	9.672056573
14	21.366	9.55146124
15	21.086	9.428200818
15.77	0	4.68300769
